Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_unidentified	0.981	256	0.0	1146
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae	0.927	254	0.0	12
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella	1.0	252	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Ophiocordycipitaceae_unidentified	1.0	262	0.0	4
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.976	253	0.0	207
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis_7;f__Annulatascaceae;g__Conlarium	0.973	254	0.0	7690
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis_7;f__Glomerellaceae;g__Colletotrichum	1.0	248	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis_7;f__Incertae_sedis_31;g__Eucasphaeria	0.855	272	0.0	12
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis_7;f__Plectosphaerellaceae	0.82	241	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis_7;f__Plectosphaerellaceae;g__Verticillium	1.0	265	0.0	5
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales	0.859	288	0.0	19
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae	0.96	287	0.0	223
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascaceae_unidentified	1.0	280	0.0	19353
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Parascedosporium	1.0	277	0.0	1697
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Petriella	1.0	275	0.0	2954
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Pithoascus	0.87	271	0.0	7
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Pseudallescheria	0.962	289	0.0	6938
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scedosporium	0.988	277	0.0	20
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascales_unidentified;g__Microascales_unidentified_1	0.939	274	0.0	1661
